PathRow S2TileID S2ULX S2ULY PercentOfS2
001084 19HBC 199980 6300040 33.3
001085 18HXE 600000 6000040 72.1
001085 18HXF 600000 6100000 99.6
001085 18HYE 699960 6000040 44.8
001085 18HYF 699960 6100000 65.1
001085 18HYG 699960 6200020 1.1
001085 19HBA 199980 6100000 28.6
001085 19HBV 199980 6000040 16.7
001086 18HWC 499980 5800000 20.8
001086 18HXC 600000 5800000 40.9
001086 18HXD 600000 5900020 100.0
001086 18HXE 600000 6000040 45.7
001086 18HYC 699960 5800000 5.4
001086 18HYD 699960 5900020 27.7
001086 18HYE 699960 6000040 13.9
001086 19HBU 199980 5900020 2.6
001086 19HBV 199980 6000040 3.1
001087 18GWA 499980 5600020 0.1
001087 18GXA 600000 5600020 4.0
001087 18HWC 499980 5800000 87.4
001087 18HXB 600000 5700040 70.8
001087 18HXC 600000 5800000 70.7
001087 18HYC 699960 5800000 1.6
001088 18GWA 499980 5600020 100.0
001088 18GWV 499980 5500000 52.3
001088 18GXA 600000 5600020 49.7
001088 18GXV 600000 5500000 19.8
001088 18HXB 600000 5700040 12.4
001089 18GWT 499980 5300020 16.1
001089 18GWU 499980 5400040 94.0
001089 18GWV 499980 5500000 65.4
001089 18GXU 600000 5400040 5.5
001089 18GXV 600000 5500000 11.5
001090 18GVS 399960 5200000 63.4
001090 18GWS 499980 5200000 40.5
001090 18GWT 499980 5300020 69.9
001090 18GWU 499980 5400040 5.7
001091 18GVQ 399960 5000020 32.4
001091 18GVR 399960 5100040 100.0
001091 18GVS 399960 5200000 54.3
001091 18GWQ 499980 5000020 5.5
001091 18GWR 499980 5100040 28.1
001091 18GWS 499980 5200000 17.9
001092 18GVN 399960 4800040 0.6
001092 18GVP 399960 4900000 68.2
001092 18GVQ 399960 5000020 80.6
001092 18GVR 399960 5100040 0.4
001092 18GWQ 499980 5000020 3.1
001093 18FVM 399960 4700020 20.4
001093 18GVN 399960 4800040 53.6
001093 18GVP 399960 4900000 18.9
001094 18FVL 399960 4600000 10.7
001094 18FVM 399960 4700020 17.4
001108 15DWD 499980 2400040 46.7
001108 15DXD 600000 2400040 57.0
001109 15DWD 499980 2400040 72.3
001109 15DXD 600000 2400040 20.6
001247 28XER 499980 9100020 7.5
001247 28XES 499980 9200040 18.7
001247 29XML 399960 9100020 6.9
001248 26XNR 499980 9100020 0.3
001248 26XNS 499980 9200040 0.2
001248 27XWK 499980 9000000 25.1
001248 27XWL 499980 9100020 71.6
001248 27XWM 499980 9200040 16.4
001248 28XDQ 399960 9000000 32.3
001248 28XDR 399960 9100020 71.0
001248 28XEQ 499980 9000000 62.2
001248 28XER 499980 9100020 99.7
001248 28XES 499980 9200040 39.2
001248 29XMK 399960 9000000 59.6
001248 29XML 399960 9100020 100.0
002002 28XEQ 499980 9000000 23.3
002002 29XMK 399960 9000000 28.9
002003 27XWH 499980 8800020 17.3
002003 27XWJ 499980 8900040 16.4
002003 28XDN 399960 8800020 37.9
002003 28XDP 399960 8900040 28.2
002003 28XEQ 499980 9000000 6.3
002003 29XMK 399960 9000000 6.4
002004 26XNM 499980 8700000 6.4
002004 26XNN 499980 8800020 0.8
002004 27XVG 399960 8700000 29.6
002004 27XVH 399960 8800020 9.4
002004 27XWF 499980 8600040 24.0
002004 27XWG 499980 8700000 96.2
002004 27XWH 499980 8800020 76.6
002004 27XWJ 499980 8900040 2.3
002004 28XDL 399960 8600040 30.6
002004 28XDM 399960 8700000 99.6
002004 28XDN 399960 8800020 75.5
002004 28XDP 399960 8900040 2.3
002005 26XML 399960 8600040 3.7
002005 26XNK 499980 8500020 14.1
002005 26XNL 499980 8600040 84.2
002005 26XNM 499980 8700000 37.6
002005 27XVE 399960 8500020 45.9
002005 27XVF 399960 8600040 100.0
002005 27XVG 399960 8700000 57.7
002005 27XWE 499980 8500020 16.9
002005 27XWF 499980 8600040 72.1
002005 27XWG 499980 8700000 13.8
002005 28XDL 399960 8600040 25.9
002005 28XDM 399960 8700000 1.3
002006 25XED 499980 8400000 4.8
002006 25XEE 499980 8500020 21.1
002006 26XMJ 399960 8400000 34.9
002006 26XMK 399960 8500020 75.5
002006 26XML 399960 8600040 16.0
002006 26XNH 499980 8300040 0.2
002006 26XNJ 499980 8400000 72.2
002006 26XNK 499980 8500020 96.1
002006 26XNL 499980 8600040 22.4
002006 27XVD 399960 8400000 24.6
002006 27XVE 399960 8500020 61.4
002006 27XVF 399960 8600040 3.0
002007 25XDC 399960 8300040 8.4
002007 25XDD 399960 8400000 1.2
002007 25XEB 499980 8200020 1.1
002007 25XEC 499980 8300040 74.4
002007 25XED 499980 8400000 74.0
002007 25XEE 499980 8500020 8.0
002007 26XMG 399960 8200020 13.8
002007 26XMH 399960 8300040 95.2
002007 26XMJ 399960 8400000 82.8
002007 26XMK 399960 8500020 6.7
002007 26XNH 499980 8300040 22.3
002007 26XNJ 499980 8400000 21.6
002008 24XWG 499980 8200020 3.4
002008 24XXF 600000 8100000 9.6
002008 25XDA 399960 8100000 13.5
002008 25XDB 399960 8200020 79.3
002008 25XDC 399960 8300040 32.4
002008 25XEA 499980 8100000 45.5
002008 25XEB 499980 8200020 100.0
002008 25XEC 499980 8300040 45.3
002008 25XFA 600000 8100000 1.3
002008 26XMF 399960 8100000 2.0
002008 26XMG 399960 8200020 41.1
002008 26XMH 399960 8300040 7.4
002009 24WWE 499980 8000040 31.5
002009 24WXD 600000 7900020 0.2
002009 24WXE 600000 8000040 76.7
002009 24XWF 499980 8100000 47.0
002009 24XWG 499980 8200020 8.1
002009 24XXF 600000 8100000 98.8
002009 25WDU 399960 7900020 1.9
002009 25WDV 399960 8000040 83.6
002009 25WEV 499980 8000040 21.7
002009 25XDA 399960 8100000 96.8
002009 25XDB 399960 8200020 18.9
002009 25XEA 499980 8100000 41.5
002010 23WPU 600000 7900020 11.5
002010 23WPV 600000 8000040 1.0
002010 24WVD 399960 7900020 27.3
002010 24WVE 399960 8000040 4.5
002010 24WWC 499980 7800000 17.2
002010 24WWD 499980 7900020 97.8
002010 24WWE 499980 8000040 70.1
002010 24WXC 600000 7800000 19.0
002010 24WXD 600000 7900020 74.8
002010 24WXE 600000 8000040 41.0
002010 25WDT 399960 7800000 9.7
002010 25WDU 399960 7900020 58.6
002010 25WDV 399960 8000040 29.9
002011 23WPS 600000 7700040 24.1
002011 23WPT 600000 7800000 54.7
002011 23WPU 600000 7900020 16.2
002011 24WVB 399960 7700040 47.7
002011 24WVC 399960 7800000 81.4
002011 24WVD 399960 7900020 21.1
002011 24WWB 499980 7700040 68.0
002011 24WWC 499980 7800000 95.6
002011 24WWD 499980 7900020 12.2
002011 24WXB 600000 7700040 2.1
002011 24WXC 600000 7800000 20.3
002011 25WDT 399960 7800000 2.1
002012 23WNR 499980 7600020 17.2
002012 23WNS 499980 7700040 2.4
002012 23WPQ 600000 7500000 5.4
002012 23WPR 600000 7600020 91.9
002012 23WPS 600000 7700040 76.1
002012 23WPT 600000 7800000 0.8
002012 24WVA 399960 7600020 99.9
002012 24WVB 399960 7700040 71.5
002012 24WVC 399960 7800000 0.2
002012 24WVV 399960 7500000 25.4
002012 24WWA 499980 7600020 38.8
002012 24WWB 499980 7700040 25.2
002012 24WWV 499980 7500000 4.0
002013 23WNP 499980 7400040 32.4
002013 23WNQ 499980 7500000 60.6
002013 23WNR 499980 7600020 16.8
002013 23WPP 600000 7400040 66.5
002013 23WPQ 600000 7500000 100.0
002013 23WPR 600000 7600020 24.6
002013 24WVA 399960 7600020 5.8
002013 24WVU 399960 7400040 39.4
002013 24WVV 399960 7500000 76.0
002013 24WWV 499980 7500000 0.5
002014 23WMN 399960 7300020 25.6
002014 23WMP 399960 7400040 5.7
002014 23WNM 499980 7200000 11.4
002014 23WNN 499980 7300020 96.7
002014 23WNP 499980 7400040 74.4
002014 23WPM 600000 7200000 16.0
002014 23WPN 600000 7300020 72.0
002014 23WPP 600000 7400040 48.4
002014 24WVT 399960 7300020 6.4
002014 24WVU 399960 7400040 10.2
002015 22VFR 600000 7100040 1.1
002015 22WFS 600000 7200000 0.2
002015 23VLL 300000 7100040 0.2
